Air = 0 ml
Persentase Kelembaban Tanah = 15.77%
Persentase Kelembaban Tanah = 16.16%
Persentase Kelembaban Tanah = 16.16%
Persentase Kelembaban Tanah = 16.16%
Persentase Kelembaban Tanah = 16.26%
Persentase Kelembaban Tanah = 16.26%
Persentase Kelembaban Tanah = 16.26%
Persentase Kelembaban Tanah = 16.16%
Persentase Kelembaban Tanah = 16.16%
Persentase Kelembaban Tanah = 16.26%
Persentase Kelembaban Tanah = 16.06%
Persentase Kelembaban Tanah = 16.16%
Persentase Kelembaban Tanah = 16.06%
Persentase Kelembaban Tanah = 16.06%
Persentase Kelembaban Tanah = 16.26%


Air = 2 ml
Persentase Kelembaban Tanah = 32.03%
Persentase Kelembaban Tanah = 31.15%
Persentase Kelembaban Tanah = 30.17%
Persentase Kelembaban Tanah = 29.97%
Persentase Kelembaban Tanah = 29.68%
Persentase Kelembaban Tanah = 29.77%
Persentase Kelembaban Tanah = 29.68%
Persentase Kelembaban Tanah = 30.07%
Persentase Kelembaban Tanah = 29.77%
Persentase Kelembaban Tanah = 29.29%
Persentase Kelembaban Tanah = 28.99%
Persentase Kelembaban Tanah = 29.09%
Persentase Kelembaban Tanah = 28.89%
Persentase Kelembaban Tanah = 28.80%
Persentase Kelembaban Tanah = 28.70%
Persentase Kelembaban Tanah = 28.50%


Air = 4 ml
Persentase Kelembaban Tanah = 48.78%,
Persentase Kelembaban Tanah = 47.01%,
Persentase Kelembaban Tanah = 46.03%,
Persentase Kelembaban Tanah = 45.45%,
Persentase Kelembaban Tanah = 45.05%,
Persentase Kelembaban Tanah = 44.96%,
Persentase Kelembaban Tanah = 44.76%,
Persentase Kelembaban Tanah = 44.56%,
Persentase Kelembaban Tanah = 44.76%,
Persentase Kelembaban Tanah = 44.27%,
Persentase Kelembaban Tanah = 44.07%,
Persentase Kelembaban Tanah = 43.88%,
Persentase Kelembaban Tanah = 43.88%,
Persentase Kelembaban Tanah = 43.88%,
Persentase Kelembaban Tanah = 43.68%,
Persentase Kelembaban Tanah = 43.68%,


Air = 6 ml
Persentase Kelembaban Tanah = 62.68%,
Persentase Kelembaban Tanah = 52.60%,
Persentase Kelembaban Tanah = 51.13%,
Persentase Kelembaban Tanah = 50.44%,
Persentase Kelembaban Tanah = 50.34%,
Persentase Kelembaban Tanah = 50.15%,
Persentase Kelembaban Tanah = 49.76%,
Persentase Kelembaban Tanah = 49.76%,
Persentase Kelembaban Tanah = 49.85%,
Persentase Kelembaban Tanah = 49.66%,
Persentase Kelembaban Tanah = 49.56%,
Persentase Kelembaban Tanah = 49.56%,
Persentase Kelembaban Tanah = 49.46%,
Persentase Kelembaban Tanah = 49.46%,
Persentase Kelembaban Tanah = 49.46%,


Air = 8 ml
Persentase Kelembaban Tanah = 76.59%,
Persentase Kelembaban Tanah = 71.60%,
Persentase Kelembaban Tanah = 77.67%,
