Air = 0 ml
Persentase Kelembaban Tanah = 28.50%,
Persentase Kelembaban Tanah = 28.50%,
Persentase Kelembaban Tanah = 28.40%,
Persentase Kelembaban Tanah = 28.31%,
Persentase Kelembaban Tanah = 28.31%,
Persentase Kelembaban Tanah = 28.11%,
Persentase Kelembaban Tanah = 28.11%,
Persentase Kelembaban Tanah = 28.21%,
Persentase Kelembaban Tanah = 28.11%,
Persentase Kelembaban Tanah = 27.91%,
Persentase Kelembaban Tanah = 28.01%,
Persentase Kelembaban Tanah = 27.91%,
Persentase Kelembaban Tanah = 27.72%,
Persentase Kelembaban Tanah = 27.72%,
Persentase Kelembaban Tanah = 27.72%,

Air = 2 ml
Persentase Kelembaban Tanah = 29.09%,
Persentase Kelembaban Tanah = 28.99%,
Persentase Kelembaban Tanah = 28.99%,
Persentase Kelembaban Tanah = 28.89%,
Persentase Kelembaban Tanah = 28.89%,
Persentase Kelembaban Tanah = 28.80%,
Persentase Kelembaban Tanah = 28.70%,
Persentase Kelembaban Tanah = 28.50%,
Persentase Kelembaban Tanah = 28.50%,
Persentase Kelembaban Tanah = 28.60%,
Persentase Kelembaban Tanah = 28.31%,
Persentase Kelembaban Tanah = 28.40%,
Persentase Kelembaban Tanah = 28.31%,
Persentase Kelembaban Tanah = 28.01%,
Persentase Kelembaban Tanah = 28.01%,
Persentase Kelembaban Tanah = 28.01%,
Persentase Kelembaban Tanah = 27.82%,
Persentase Kelembaban Tanah = 28.80%,


Air = 4 ml
Persentase Kelembaban Tanah = 31.73%,
Persentase Kelembaban Tanah = 31.54%,
Persentase Kelembaban Tanah = 31.34%,
Persentase Kelembaban Tanah = 31.24%,
Persentase Kelembaban Tanah = 31.05%,
Persentase Kelembaban Tanah = 30.85%,
Persentase Kelembaban Tanah = 30.46%,
Persentase Kelembaban Tanah = 30.36%,
Persentase Kelembaban Tanah = 30.56%,
Persentase Kelembaban Tanah = 30.07%,
Persentase Kelembaban Tanah = 29.97%,
Persentase Kelembaban Tanah = 29.77%,
Persentase Kelembaban Tanah = 29.48%,
Persentase Kelembaban Tanah = 29.19%,
Persentase Kelembaban Tanah = 29.38%,
Persentase Kelembaban Tanah = 29.29%,
Persentase Kelembaban Tanah = 28.99%,

Air = 6 ml
Persentase Kelembaban Tanah = 46.62%,
Persentase Kelembaban Tanah = 30.17%,
Persentase Kelembaban Tanah = 35.95%,
Persentase Kelembaban Tanah = 44.47%,
Persentase Kelembaban Tanah = 59.94%,
Persentase Kelembaban Tanah = 22.14%,
Persentase Kelembaban Tanah = 65.92%,
Persentase Kelembaban Tanah = 53.87%,
Persentase Kelembaban Tanah = 62.68%,
Persentase Kelembaban Tanah = 62.00%,
Persentase Kelembaban Tanah = 61.61%,
Persentase Kelembaban Tanah = 61.21%,
Persentase Kelembaban Tanah = 60.82%,
Persentase Kelembaban Tanah = 60.43%,


Air = 8 ml
Persentase Kelembaban Tanah = 67.78%,
Persentase Kelembaban Tanah = 68.46%,
Persentase Kelembaban Tanah = 74.05%,
Persentase Kelembaban Tanah = 78.45%,
Persentase Kelembaban Tanah = 78.26%,
Persentase Kelembaban Tanah = 78.06%,
Persentase Kelembaban Tanah = 77.96%,
Persentase Kelembaban Tanah = 77.86%,
Persentase Kelembaban Tanah = 77.77%,
Persentase Kelembaban Tanah = 77.57%,
Persentase Kelembaban Tanah = 77.47%,
Persentase Kelembaban Tanah = 77.47%,
Persentase Kelembaban Tanah = 77.38%,
Persentase Kelembaban Tanah = 77.28%,
Persentase Kelembaban Tanah = 77.08%,


Air = 10 ml
Persentase Kelembaban Tanah = 72.38%,
Persentase Kelembaban Tanah = 72.67%,
Persentase Kelembaban Tanah = 72.67%,
Persentase Kelembaban Tanah = 72.87%,
Persentase Kelembaban Tanah = 72.67%,
Persentase Kelembaban Tanah = 72.77%,
Persentase Kelembaban Tanah = 72.67%,
Persentase Kelembaban Tanah = 72.67%,
Persentase Kelembaban Tanah = 72.67%,
Persentase Kelembaban Tanah = 72.58%,
Persentase Kelembaban Tanah = 72.58%,
Persentase Kelembaban Tanah = 72.48%,
Persentase Kelembaban Tanah = 72.38%,
Persentase Kelembaban Tanah = 72.48%,
Persentase Kelembaban Tanah = 72.28%,

Air = 12 ml
Persentase Kelembaban Tanah = 86.09%,
Persentase Kelembaban Tanah = 85.50%,
Persentase Kelembaban Tanah = 83.74%,
Persentase Kelembaban Tanah = 83.55%,
Persentase Kelembaban Tanah = 83.15%,
Persentase Kelembaban Tanah = 82.96%,
Persentase Kelembaban Tanah = 82.66%,
Persentase Kelembaban Tanah = 82.66%,
Persentase Kelembaban Tanah = 82.57%,
Persentase Kelembaban Tanah = 82.47%,
Persentase Kelembaban Tanah = 82.37%,
Persentase Kelembaban Tanah = 82.27%,
Persentase Kelembaban Tanah = 82.17%,
Persentase Kelembaban Tanah = 82.27%,
Persentase Kelembaban Tanah = 82.08%,


Air = 14 ml
Persentase Kelembaban Tanah = 80.51%,
Persentase Kelembaban Tanah = 82.27%,
Persentase Kelembaban Tanah = 84.33%,
Persentase Kelembaban Tanah = 84.23%,
Persentase Kelembaban Tanah = 83.55%,
Persentase Kelembaban Tanah = 83.35%,
Persentase Kelembaban Tanah = 82.76%,
Persentase Kelembaban Tanah = 82.96%,
Persentase Kelembaban Tanah = 82.76%,
Persentase Kelembaban Tanah = 82.66%,
Persentase Kelembaban Tanah = 82.66%,
Persentase Kelembaban Tanah = 82.57%,
Persentase Kelembaban Tanah = 82.47%,
Persentase Kelembaban Tanah = 82.47%,
Persentase Kelembaban Tanah = 82.37%,


Air = 18 ml
Persentase Kelembaban Tanah = 90.40%
Persentase Kelembaban Tanah = 88.25%
Persentase Kelembaban Tanah = 87.66%
Persentase Kelembaban Tanah = 87.07%
