Air = 0 ml
Persentase Kelembaban Tanah = 27.82%,
Persentase Kelembaban Tanah = 27.91%,
Persentase Kelembaban Tanah = 27.82%,
Persentase Kelembaban Tanah = 27.62%,
Persentase Kelembaban Tanah = 27.72%,
Persentase Kelembaban Tanah = 27.52%,
Persentase Kelembaban Tanah = 27.52%,
Persentase Kelembaban Tanah = 27.33%,
Persentase Kelembaban Tanah = 27.42%,
Persentase Kelembaban Tanah = 27.23%,
Persentase Kelembaban Tanah = 27.13%,
Persentase Kelembaban Tanah = 27.23%,
Persentase Kelembaban Tanah = 27.13%,
Persentase Kelembaban Tanah = 26.93%,
Persentase Kelembaban Tanah = 27.03%,
Persentase Kelembaban Tanah = 26.93%,
Persentase Kelembaban Tanah = 26.64%,


Air = 2 ml
Persentase Kelembaban Tanah = 31.93%,
Persentase Kelembaban Tanah = 21.06%,
Persentase Kelembaban Tanah = 55.53%,
Persentase Kelembaban Tanah = 48.38%,
Persentase Kelembaban Tanah = 57.39%,
Persentase Kelembaban Tanah = 56.22%,
Persentase Kelembaban Tanah = 55.44%,
Persentase Kelembaban Tanah = 56.51%,
Persentase Kelembaban Tanah = 56.42%,
Persentase Kelembaban Tanah = 62.59%,
Persentase Kelembaban Tanah = 61.21%,
Persentase Kelembaban Tanah = 59.94%,
Persentase Kelembaban Tanah = 59.06%,
Persentase Kelembaban Tanah = 58.37%,
Persentase Kelembaban Tanah = 57.79%,


Air = 4 ml
Persentase Kelembaban Tanah = 45.84%,
Persentase Kelembaban Tanah = 45.84%,
Persentase Kelembaban Tanah = 45.74%,
Persentase Kelembaban Tanah = 45.54%,
Persentase Kelembaban Tanah = 45.64%,
Persentase Kelembaban Tanah = 45.64%,
Persentase Kelembaban Tanah = 45.35%,
Persentase Kelembaban Tanah = 45.45%,
Persentase Kelembaban Tanah = 45.25%,
Persentase Kelembaban Tanah = 45.15%,
Persentase Kelembaban Tanah = 45.25%,
Persentase Kelembaban Tanah = 45.05%,
Persentase Kelembaban Tanah = 44.86%,
Persentase Kelembaban Tanah = 44.86%,
Persentase Kelembaban Tanah = 44.76%,
Persentase Kelembaban Tanah = 44.56%,
Persentase Kelembaban Tanah = 44.56%,
Persentase Kelembaban Tanah = 44.56%,


Air = 6 ml
Persentase Kelembaban Tanah = 58.18%,
Persentase Kelembaban Tanah = 57.98%,
Persentase Kelembaban Tanah = 57.98%,
Persentase Kelembaban Tanah = 57.88%,
Persentase Kelembaban Tanah = 57.88%,
Persentase Kelembaban Tanah = 57.88%,
Persentase Kelembaban Tanah = 57.88%,
Persentase Kelembaban Tanah = 58.18%,
Persentase Kelembaban Tanah = 58.08%,
Persentase Kelembaban Tanah = 57.98%,
Persentase Kelembaban Tanah = 57.98%,
Persentase Kelembaban Tanah = 58.18%,
Persentase Kelembaban Tanah = 57.98%,
Persentase Kelembaban Tanah = 57.88%,
Persentase Kelembaban Tanah = 55.63%,


Air = 8 ml
Persentase Kelembaban Tanah = 68.07%,
Persentase Kelembaban Tanah = 55.73%,
Persentase Kelembaban Tanah = 55.24%,
Persentase Kelembaban Tanah = 58.08%,
Persentase Kelembaban Tanah = 58.57%,
Persentase Kelembaban Tanah = 71.99%,
Persentase Kelembaban Tanah = 19.10%,
Persentase Kelembaban Tanah = 72.18%,
Persentase Kelembaban Tanah = 53.18%,
Persentase Kelembaban Tanah = 54.75%,
Persentase Kelembaban Tanah = 54.75%,
Persentase Kelembaban Tanah = 54.36%,
Persentase Kelembaban Tanah = 54.06%,
Persentase Kelembaban Tanah = 53.97%,
Persentase Kelembaban Tanah = 53.57%,


Air = 10 ml
Persentase Kelembaban Tanah = 68.17%,
Persentase Kelembaban Tanah = 66.11%,
Persentase Kelembaban Tanah = 67.87%,
Persentase Kelembaban Tanah = 66.31%,
Persentase Kelembaban Tanah = 66.11%,
Persentase Kelembaban Tanah = 65.92%,
Persentase Kelembaban Tanah = 66.01%,
Persentase Kelembaban Tanah = 66.01%,
Persentase Kelembaban Tanah = 65.62%,
Persentase Kelembaban Tanah = 65.43%,
Persentase Kelembaban Tanah = 65.52%,
Persentase Kelembaban Tanah = 65.43%,
Persentase Kelembaban Tanah = 65.23%,
Persentase Kelembaban Tanah = 65.23%,
Persentase Kelembaban Tanah = 65.13%,


Air = 12 ml
Persentase Kelembaban Tanah = 77.77%,
Persentase Kelembaban Tanah = 80.02%,
Persentase Kelembaban Tanah = 70.23%,
Persentase Kelembaban Tanah = 79.82%,
Persentase Kelembaban Tanah = 73.07%,
Persentase Kelembaban Tanah = 78.26%,
Persentase Kelembaban Tanah = 77.28%,
Persentase Kelembaban Tanah = 80.90%,
Persentase Kelembaban Tanah = 80.02%,
Persentase Kelembaban Tanah = 79.73%,
Persentase Kelembaban Tanah = 79.53%,
Persentase Kelembaban Tanah = 79.24%,
Persentase Kelembaban Tanah = 79.24%,
Persentase Kelembaban Tanah = 79.14%,
Persentase Kelembaban Tanah = 78.94%,


Air = 14 ml
Persentase Kelembaban Tanah = 85.31%,
Persentase Kelembaban Tanah = 87.07%,
Persentase Kelembaban Tanah = 83.15%,
Persentase Kelembaban Tanah = 82.37%,
Persentase Kelembaban Tanah = 82.08%,
Persentase Kelembaban Tanah = 82.17%,
Persentase Kelembaban Tanah = 82.17%,
Persentase Kelembaban Tanah = 82.47%,
Persentase Kelembaban Tanah = 82.37%,
Persentase Kelembaban Tanah = 82.27%,
Persentase Kelembaban Tanah = 82.08%,
Persentase Kelembaban Tanah = 81.98%,
Persentase Kelembaban Tanah = 81.88%,
Persentase Kelembaban Tanah = 81.88%,
Persentase Kelembaban Tanah = 81.78%,


Air = 16 ml
Persentase Kelembaban Tanah = 87.07%,
Persentase Kelembaban Tanah = 87.07%,
Persentase Kelembaban Tanah = 85.01%,
Persentase Kelembaban Tanah = 84.23%,
Persentase Kelembaban Tanah = 83.74%,
Persentase Kelembaban Tanah = 81.68%,
Persentase Kelembaban Tanah = 89.52%,
Persentase Kelembaban Tanah = 81.49%,
Persentase Kelembaban Tanah = 87.07%,
Persentase Kelembaban Tanah = 80.80%,
Persentase Kelembaban Tanah = 83.15%,
Persentase Kelembaban Tanah = 83.06%,
Persentase Kelembaban Tanah = 82.86%,
Persentase Kelembaban Tanah = 82.76%,
Persentase Kelembaban Tanah = 82.76%,


Air = 18 ml
Persentase Kelembaban Tanah = 90.21%,
Persentase Kelembaban Tanah = 89.23%,
Persentase Kelembaban Tanah = 88.93%,
Persentase Kelembaban Tanah = 88.64%,
Persentase Kelembaban Tanah = 88.54%,
Persentase Kelembaban Tanah = 88.34%,
Persentase Kelembaban Tanah = 88.25%,
Persentase Kelembaban Tanah = 88.05%,
Persentase Kelembaban Tanah = 88.05%,
Persentase Kelembaban Tanah = 87.95%,
Persentase Kelembaban Tanah = 87.86%,
Persentase Kelembaban Tanah = 87.95%,
Persentase Kelembaban Tanah = 87.86%,
Persentase Kelembaban Tanah = 87.66%,
Persentase Kelembaban Tanah = 87.66%,
